userID	contactID	timestamp
8	28371	1286151259000
8	40306	1286101989000
8	85279	1285981848000
8	91764	1286225027000
8	97723	1286846913000
8	105468	1286802368000
8	106690	1285867633000
32	3203	1281710191000
32	7978	1280116483000
32	8670	1281770566000
32	12847	1284467689000
32	83734	1279699507000
57	9145	1214190308000
57	9152	1249293349000
57	23849	1217235501000
57	29455	1214014028000
57	65215	1214842923000
57	85166	1216204559000
57	101198	1214668172000
147	19354	1160583880000
147	19622	1157860569000
147	22728	1164378971000
147	27421	1190754799000
147	30118	1183471915000
147	31053	1190754802000
147	33163	1183471912000
147	35908	1183471921000
147	38536	1183471953000
147	38853	1183471913000
147	44414	1183471929000
147	45368	1160583872000
147	47658	1204313379000
147	50538	1190754769000
147	54173	1190754797000
147	55826	1202555797000
147	56555	1162579553000
147	56742	1159446104000
147	60219	1190754804000
147	70781	1160583902000
147	72740	1183471913000
147	73561	1190754797000
147	75061	1190754797000
147	78003	1159448182000
147	85755	1187314531000
147	87453	1196796166000
147	87499	1183471918000
147	88108	1159446104000
147	88649	1192130577000
147	89560	1183471917000
147	90178	1196740935000
147	90442	1190754770000
147	91138	1159446095000
147	93282	1183471913000
147	94771	1160583877000
147	99246	1160586250000
147	105832	1160583879000
233	2716	1179415065000
242	6704	1278958571000
242	45650	1184298602000
259	11568	1191504692000
302	8232	1160706426000
302	28061	1172561664000
319	22091	1189890267000
319	57151	1158689385000
319	59208	1155768579000
319	89224	1146752335000
319	96577	1190507611000
336	29658	1264069572000
372	5584	1249222046000
372	41072	1190921830000
372	65754	1212502897000
372	93030	1249838653000
427	21127	1246363374000
485	27229	1150226908000
485	44046	1147367809000
485	49978	1161284369000
485	84972	1148443243000
485	89549	1154221518000
485	95152	1154978876000
485	97386	1160532031000
521	78592	1214457884000
521	79054	1240888724000
538	16972	1232562799000
620	71735	1279823963000
620	73515	1214161058000
788	1263	1267269245000
788	1423	1233178505000
788	10680	1282794069000
788	17308	1252505526000
788	17711	1237229723000
788	19812	1240443532000
788	21566	1242349841000
788	25795	1277318352000
788	28115	1247274637000
788	30669	1251542372000
788	31272	1251772112000
788	31503	1238713934000
788	31994	1244400443000
788	37851	1237473696000
788	40001	1273711960000
788	41461	1240536439000
788	41911	1254355483000
788	42525	1264311208000
788	44166	1277255556000
788	49031	1238799859000
788	49329	1268625464000
788	51379	1243512257000
788	51985	1253017834000
788	52177	1232898547000
788	52355	1278519761000
788	54005	1242477910000
788	55395	1266109381000
788	59979	1237511819000
788	60349	1244317438000
788	60597	1263841526000
788	61823	1237452325000
788	63285	1252949596000
788	64432	1284096630000
788	64555	1261186602000
788	71664	1261463395000
788	76566	1235506000000
788	78108	1249398585000
788	80417	1237669016000
788	83503	1261259501000
788	92968	1260224241000
788	93594	1240709341000
788	96951	1243875971000
788	100668	1249323759000
788	100884	1237503321000
788	101946	1275572808000
788	102218	1235921977000
788	102248	1261064791000
788	102824	1239669618000
788	106833	1268809295000
819	45897	1207913978000
819	80924	1189542283000
913	17855	1268075437000
934	2300	1285416018000
934	30201	1285715480000
934	35259	1285609772000
934	49058	1285721781000
934	49408	1285971239000
934	53002	1285427193000
934	57359	1285028200000
934	72005	1285641685000
934	75998	1285590745000
934	79828	1285120236000
934	104426	1285012627000
970	26954	1200934398000
970	39694	1200955654000
970	41610	1200909893000
970	54333	1152067290000
970	63930	1146752335000
970	76601	1166474965000
1016	40625	1194703685000
